OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Richmond,NA,-6.1,NA,-2.1,NA,NA,Grass,9,3,2011,Sat,19,Home,L,21,23,-2,32741,96.46445302,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,0,FALSE,0,0,1,2,FALSE,FALSE
Stanford,24.4,-6.1,30.5,-2.1,24.2,28.2,Grass,9,10,2011,Sat,15.5,Home,L,14,44,-30,24785,73.02377655,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,6,7,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,0,1,FALSE,FALSE
Boston College,-0.5,-6.1,5.6,-2.1,3.3,7.3,Turf,9,17,2011,Sat,12.5,Away,W,20,19,1,35812,80.47640449,NA,FALSE,,Chestnut Hill,MA,ESGP,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,0,FALSE,FALSE
Tulane,-20.3,-6.1,-14.2,-2.1,-17.3,-13.3,Grass,9,24,2011,Sat,15.5,Home,W,48,27,21,20138,59.33237088,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,1,1,1,FALSE,FALSE
Florida Int'l,-5.1,-6.1,1,-2.1,-6.3,-2.3,Turf,10,1,2011,Sat,19,Away,W,31,27,4,22682,113.41,NA,FALSE,,Miami,FL,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,2,2,FALSE,FALSE
Florida St.,15.3,-6.1,21.4,-2.1,17.2,21.2,Grass,10,15,2011,Sat,15,Home,L,16,41,-25,24687,72.73504022,NA,FALSE,,Durham,NC,ESGP,FALSE,NA,NA,23,FALSE,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,3,FALSE,FALSE
Wake Forest,-0.2,-6.1,5.9,-2.1,-6,-2,Grass,10,22,2011,Sat,12.5,Home,L,23,24,-1,22258,65.57850387,NA,FALSE,,Durham,NC,ESGP,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,3,3,FALSE,FALSE
Virginia Tech,11.8,-6.1,17.9,-2.1,18.4,22.4,Grass,10,29,2011,Sat,12.5,Home,L,10,14,-4,27392,80.70475236,NA,FALSE,,Durham,NC,ESGP,FALSE,NA,12,21,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,2,3,FALSE,FALSE
Miami (Fla.),9.3,-6.1,15.4,-2.1,12,16,Grass,11,5,2011,Sat,15,Away,L,14,49,-35,62053,95.47790497,NA,FALSE,,Miami Gardens,FL,ESGP,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,1,2,FALSE,FALSE
Virginia,0.2,-6.1,6.3,-2.1,-1.9,2.1,Grass,11,12,2011,Sat,15,Away,L,21,31,-10,45733,74.36260163,NA,FALSE,,Charlottesville,VA,ESGP,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,1,FALSE,FALSE
Georgia Tech,5,-6.1,11.1,-2.1,5.3,9.3,Grass,11,19,2011,Sat,12.5,Home,L,31,38,-7,18747,55.23408267,NA,FALSE,,Durham,NC,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,0,0,FALSE,FALSE
North Carolina,6.1,-6.1,12.2,-2.1,10.4,14.4,Grass,11,26,2011,Sat,15.5,Away,L,21,37,-16,58500,114.7058824,NA,FALSE,,Chapel Hill,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,0,FALSE,FALSE
Florida Int'l,-8,-1.7,-6.3,4.4,-5.1,1,Grass,9,1,2012,Sat,19,Home,W,46,26,20,31117,91.67967944,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,0,FALSE,0,0,0,0,FALSE,FALSE
Stanford,18.5,-1.7,20.2,4.4,24.4,30.5,Grass,9,8,2012,Sat,22.5,Away,L,13,50,-37,44016,87,NA,FALSE,,Stanford,CA,PAC12,FALSE,NA,25,7,FALSE,TRUE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,1,FALSE,1,1,1,1,FALSE,FALSE
N.C. Central,NA,-1.7,NA,4.4,NA,NA,Grass,9,15,2012,Sat,19,Home,W,54,17,37,22829,67.26083498,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,1,1,1,1,FALSE,FALSE
Memphis,-13.2,-1.7,-11.5,4.4,-24.6,-18.5,Grass,9,22,2012,Sat,18,Home,W,38,14,24,23658,69.70330868,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,2,2,2,FALSE,FALSE
Wake Forest,-7.6,-1.7,-5.9,4.4,-0.2,5.9,Turf,9,29,2012,Sat,12.5,Away,W,34,27,7,28743,91,NA,FALSE,,Winston-Salem,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,3,FALSE,FALSE
Virginia,-2,-1.7,-0.3,4.4,0.2,6.3,Grass,10,6,2012,Sat,15,Home,W,42,17,25,26856,79.12554138,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,FALSE
Virginia Tech,6.5,-1.7,8.2,4.4,11.8,17.9,Grass,10,13,2012,Sat,12.5,Away,L,20,41,-21,65632,100,NA,FALSE,,Blacksburg,VA,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
North Carolina,10.6,-1.7,12.3,4.4,6.1,12.2,Grass,10,20,2012,Sat,19,Home,W,33,30,3,33941,100,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
