OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Weather,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,OppCityDist
Florida St.,2001,NA,NA,NA,NA,NA,NA,Home,9,1,Sat,18,L,13,55,-42,FALSE,23312,68.68389264,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,74.3,97,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,FALSE,493.91
Rice,2001,NA,NA,NA,NA,NA,NA,Away,9,8,Sat,20,L,13,15,-2,FALSE,17745,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,87.4,68,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,1046.04
Northwestern,2001,NA,NA,NA,NA,NA,NA,Home,9,22,Sat,18,L,7,44,-37,FALSE,18427,54.29127015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,83.3,57,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,629.97
Virginia,2001,NA,NA,NA,NA,NA,NA,Away,9,29,Sat,13,L,10,31,-21,FALSE,54653,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,142.54
Georgia Tech,2001,NA,NA,NA,NA,NA,NA,Home,10,6,Sat,13,L,10,37,-27,FALSE,10431,30.73274211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,61.3,97,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,347.61
Wake Forest,2001,NA,NA,NA,NA,NA,NA,Home,10,13,Sat,13,L,35,42,-7,FALSE,10835,31.92304293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,77.4,54,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,75.75
Maryland,2001,NA,NA,NA,NA,NA,NA,Away,10,20,Sat,12,L,17,59,-42,FALSE,43528,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,232.69
Vanderbilt,2001,NA,NA,NA,NA,NA,NA,Home,10,27,Sat,13,L,28,42,-14,FALSE,18332,54.01137268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,50.4,36,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,440.39
North Carolina St.,2001,NA,NA,NA,NA,NA,NA,Home,11,3,Sat,14,L,31,55,-24,FALSE,35206,103.7270558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,79.3,44,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,21.14
North Carolina,2001,NA,NA,NA,NA,NA,NA,Away,11,17,Sat,13.5,L,17,52,-35,FALSE,52000,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,69.1,39,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,10.42
Clemson,2001,NA,NA,NA,NA,NA,NA,Away,12,1,Sat,13,L,31,59,-28,FALSE,72577,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,67.3,49,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,239.73
East Carolina,2002,NA,NA,NA,NA,NA,NA,Home,8,31,Sat,18,W,23,16,7,FALSE,23276,68.57782623,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,67.3,97,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,TRUE,89.81
Louisville,2002,NA,NA,NA,NA,NA,NA,Home,9,7,Sat,19,L,3,40,-37,FALSE,25486,75.08912525,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,78.4,43,,,NA,,,,,,,,,,,,TRUE,TRUE,FALSE,,1,1,1,1,1,,FALSE,408.82
Northwestern,2002,NA,NA,NA,NA,NA,NA,Away,9,14,Sat,13,L,21,26,-5,FALSE,22910,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,80.4,42,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,FALSE,629.97
Florida St.,2002,NA,NA,NA,NA,NA,NA,Away,9,21,Sat,19,L,17,48,-31,FALSE,82397,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,89.1,55,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,FALSE,493.91
Navy,2002,NA,NA,NA,NA,NA,NA,Away,9,28,Sat,12,W,43,17,26,FALSE,31647,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,73.4,53,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,244.78
Virginia,2002,NA,NA,NA,NA,NA,NA,Home,10,5,Sat,12,L,22,27,-5,FALSE,17638,51.96664801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,85.3,65,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,2,,FALSE,142.54
Wake Forest,2002,NA,NA,NA,NA,NA,NA,Away,10,12,Sat,15.5,L,10,36,-26,FALSE,25856,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,TRUE,75.75
North Carolina St.,2002,NA,NA,NA,NA,NA,NA,Away,10,19,Sat,12,L,22,24,-2,FALSE,51500,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,64.2,52,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,TRUE,21.14
Maryland,2002,NA,NA,NA,NA,NA,NA,Home,10,26,Sat,13,L,12,45,-33,FALSE,23451,69.09342683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,65.3,81,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,232.69
Clemson,2002,NA,NA,NA,NA,NA,NA,Home,11,2,Sat,13,L,31,34,-3,FALSE,16479,48.55189888,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,53.4,26,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,FALSE,239.73
Georgia Tech,2002,NA,NA,NA,NA,NA,NA,Away,11,16,Sat,13,L,2,17,-15,FALSE,41335,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,56.3,90,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,347.61
North Carolina,2002,NA,NA,NA,NA,NA,NA,Home,11,23,Sat,12,L,21,23,-2,FALSE,30002,88.39456704,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,48.4,39,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,10.42
Virginia,2003,NA,NA,NA,NA,NA,NA,Away,8,30,Sat,19,L,0,27,-27,FALSE,61737,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,FALSE,142.54
