OppName,FPI,FPI_diff,Surface,Month,Year,Site,Type,Count,Yards,TD Gained
Clemson,13.8,4.8,Grass,9,2023,Home,Interceptions,1,0,0
Lafayette,,,Grass,9,2023,Home,Interceptions,2,0,0
Northwestern,0.8,-8.2,Grass,9,2023,Home,Interceptions,1,5,0
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Interceptions,0,0,0
Notre Dame,20.7,11.7,Grass,9,2023,Home,Interceptions,0,0,0
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Interceptions,1,24,0
Florida St.,19.8,10.8,Grass,10,2023,Away,Interceptions,1,13,1
Louisville,11.4,2.4,Turf,10,2023,Away,Interceptions,0,0,0
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Interceptions,1,-1,0
North Carolina,10.2,1.2,Turf,11,2023,Away,Interceptions,1,12,0
Virginia,-5.3,-14.3,Grass,11,2023,Away,Interceptions,0,0,0
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Interceptions,1,0,0
Troy,5.9,-3.1,Turf,12,2023,Neutral,Interceptions,1,0,0
Clemson,13.8,4.8,Grass,9,2023,Home,Fumble_Returns,1,55,0
Lafayette,,,Grass,9,2023,Home,Fumble_Returns,0,0,0
Northwestern,0.8,-8.2,Grass,9,2023,Home,Fumble_Returns,0,0,0
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Fumble_Returns,0,26,1
Notre Dame,20.7,11.7,Grass,9,2023,Home,Fumble_Returns,0,0,0
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Fumble_Returns,0,0,0
Florida St.,19.8,10.8,Grass,10,2023,Away,Fumble_Returns,0,0,0
Louisville,11.4,2.4,Turf,10,2023,Away,Fumble_Returns,0,0,0
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Fumble_Returns,0,0,0
North Carolina,10.2,1.2,Turf,11,2023,Away,Fumble_Returns,0,0,0
Virginia,-5.3,-14.3,Grass,11,2023,Away,Fumble_Returns,0,0,0
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Fumble_Returns,0,0,0
Troy,5.9,-3.1,Turf,12,2023,Neutral,Fumble_Returns,0,0,0
Clemson,13.8,4.8,Grass,9,2023,Home,Tackles_Solo,36,,
